name,agency,location,genres,website
Lauren Spieller,Folio Literary Management,Pittsburgh,"Fiction, Young Adult, Commercial Fiction, Fantasy, Horror, Romance, Thriller",https://www.foliojr.com
Julie Barer,The Book Group,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Diverse Fiction, BIPOC, LGBTQ",http://www.thebookgroup.com/
Jess Regel,Helm Literary,New York,"Fiction, Young Adult, Children's Book, Diverse Fiction, Fantasy, Graphic Novel, Humor, LGBTQ, Literary Fiction, Middle Grade, New Adult, Romance, Women's Fiction",https://helmliterary.com/
Erin Niumata,Folio Literary Management,New York,"Fiction, Thriller, Women's Fiction, Romance, Horror, Commercial Fiction, Humor, Feminism, Mystery",https://www.foliolit.com/
Peter Straus,RCW Literary Agency,London,"Fiction, Literary Fiction, Poetry, Nonfiction, Narrative Nonfiction, Action & Adventure, Cookbook, Crime Fiction, Fantasy, Historical Fiction, Memoir, Politics, Romance, Science Fiction, Spirituality, Thriller, Women's Fiction",https://www.rcwlitagency.com/
Alex Cochran,C&W Agency,London,"Fiction, Crime Fiction, Fantasy, Literary Fiction, Science Fiction, Thriller, Nonfiction, Narrative Nonfiction",https://cwagency.co.uk/
Elaine Spencer,The Knight Agency,Atlanta,"Fiction, Historical Fiction, Humor, Romance, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Crime Fiction, Thriller, Commercial Fiction, Feminism",http://www.knightagency.net/
Alexandra Machinist,Creative Artists Agency,Los Angeles,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Thriller, Women's Fiction, Narrative Nonfiction",https://www.publishersmarketplace.com/members/AMachinist/
Kelly Sonnack,Andrea Brown Literary Agency,Chicago,"Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book",http://www.andreabrownlit.com/
Paul Rodeen,Rodeen Literary Management,Chicago,"Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book",http://rodeenliterary.com/
Stephanie Thwaites,Curtis Brown UK,London,"Fiction, Commercial Fiction, Thriller, Chick Lit, Diverse Fiction, Romance",https://www.curtisbrown.co.uk/
Elizabeth Winick Rubenstein,"McIntosh & Otis, Inc.",New York,"Fiction, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Feminism",http://mcintoshandotis.com/
Michael Harriot,Folio Literary Management,New York,"Fiction, Commercial Fiction, Humor, Nonfiction, Memoir, Narrative Nonfiction, Historical Fiction, Literary Fiction",https://www.foliolit.com/
Julia Churchill,A.M. Heath & Co. Ltd,London,"Young Adult, Children's Book, Middle Grade, Picture Book, Fiction, Nonfiction",https://amheath.com
Deidre Knight,The Knight Agency,Atlanta,"Fiction, Chick Lit, Fantasy, Romance, Nonfiction, LGBTQ, Sports, Thriller, Horror, New Adult",http://www.knightagency.net/
Kerry Sparks,Levine Greenberg Rostan Literary Agency,New York,"Fiction, Narrative Nonfiction, Poetry",https://lgrliterary.com/
Annelise Robey,Jane Rotrosen Agency,New York,"Fiction, Chick Lit, Commercial Fiction, Fantasy, Historical Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult",https://www.janerotrosen.com/
Michael Carr,Veritas Literary,San Francisco,"Fiction, Fantasy, Historical Fiction, Science Fiction, Women's Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Sports, Politics",http://veritasliterary.com/
Kristin Nelson,Nelson Literary Agency,Denver,"Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Science Fiction, Thriller, Women's Fiction, Young Adult, Diverse Fiction, Chick Lit, LGBTQ, Action & Adventure, Horror, Romance",http://www.nelsonagency.com/
Ellen Geiger,"Frances Goldin Literary Agency, Inc.",New York,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Diverse Fiction, Feminism, BIPOC, LGBTQ, Women's Fiction, Short Story",http://www.goldinlit.com/
Stephanie Tade,Stephanie Tade Agency,Philadelphia,"Nonfiction, Memoir, Self-Help, Spirituality",http://www.stephanietadeagency.com/
Felicity Blunt,Curtis Brown UK,London,"Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Thriller, Young Adult, Commercial Fiction, Feminism, Women's Fiction",https://www.curtisbrown.co.uk/
Juliet Mushens,Mushens Entertainment,London,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Thriller, Fantasy",https://www.mushens-entertainment.com/
Howard Yoon,WME Books,Washington DC,"Nonfiction, Memoir, Narrative Nonfiction, Politics",https://wmebookdepartment.com/
Leigh Feldman,Leigh Feldman Literary,New York,"Fiction, Historical Fiction, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction",http://www.lfliterary.com/
Tamar Rydzinski,Context Literary Agency,New York,"Fiction, Young Adult, Middle Grade, Commercial Fiction, Narrative Nonfiction, Nonfiction",https://www.contextlit.com/
Mel Parker,"Mel Parker Books, LLC",New York,"Thriller, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Spirituality",http://melparkerbooks.com/
Holly Root,Root Literary,Los Angeles,"Fiction, Commercial Fiction, Women's Fiction, Nonfiction, Chick Lit, Middle Grade, Romance",https://www.rootliterary.com/
Marietta Zacker,Gallt & Zacker Literary Agency,Newark,"Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction",https://www.galltzacker.com/
Cecilia Lyra,P.S. Literary Agency,Toronto,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Business Book, Memoir, Diverse Fiction, BIPOC, Feminism, LGBTQ",https://www.psliterary.com/
Jill Marsal,"Marsal Lyon Literary Agency, LLC",San Diego,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Business Book, Narrative Nonfiction, Politics, Self-Help, Chick Lit, Crime Fiction, Memoir",https://www.marsallyonliteraryagency.com/
Irene Goodman,Irene Goodman Literary Agency,New York,"Fiction, Chick Lit, Commercial Fiction, Mystery, Romance, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Children's Book, Middle Grade, Business Book, Cookbook",https://www.irenegoodman.com/
Harvey Klinger,"Harvey Klinger, Inc.",New York,"Fiction, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Narrative Nonfiction, Self-Help, Crime Fiction, Memoir",https://www.harveyklinger.com/
Lisa Grubka,United Talent Agency,New York,"Fiction, Literary Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Business Book, Cookbook, Sports",https://www.unitedtalent.com/
Donald Maass,Donald Maass Literary Agency,New York,"Fiction, Commercial Fiction, Fantasy, Horror, Literary Fiction, Mystery, Science Fiction, Thriller, Women's Fiction, Young Adult",http://maassagency.com/
Louise Fury,The Fury Agency,New York,"Fiction, Commercial Fiction, Graphic Novel, Romance, Young Adult, Nonfiction, Self-Help, Sports, Children's Book, Middle Grade, Picture Book, Cookbook, Crime Fiction, Humor",https://www.thefuryagency.com/
Joshua Getzler,HG Literary,New York,"Fiction, Historical Fiction, Mystery, Thriller, Women's Fiction, Nonfiction, Business Book, Politics, Middle Grade",http://www.hgliterary.com/
Liza Dawson,Liza Dawson Associates,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Women's Fiction",https://www.lizadawsonassociates.com/
Hannah Bowman,Liza Dawson Associates,New York,"Fiction, Commercial Fiction, Fantasy, Science Fiction, Young Adult, Diverse Fiction, BIPOC, LGBTQ",https://www.lizadawsonassociates.com/
Danielle Egan-Miller,Browne & Miller Literary Associates,Chicago,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Mystery, Thriller, Women's Fiction, Self-Help, LGBTQ, Literary Fiction, Romance",http://www.browneandmiller.com/
Laurie McLean,Fuse Literary,San Francisco,"Fiction, Fantasy, Romance, Crime Fiction, LGBTQ, Science Fiction, Young Adult",http://fuseliterary.com/
Don Congdon,Don Congdon Associates,New York,"Action & Adventure, Nonfiction, Narrative Nonfiction, Politics",http://www.doncongdon.com/
Stacy Testa,Writers House,New York,"Fiction, Commercial Fiction, Humor, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction",http://www.writershouse.com/
Frances Coady,Aragi Inc.,New York,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Feminism, Commercial Fiction",http://www.aragi.net/
Lisa Leshne,The Leshne Agency,New York,"Fiction, Young Adult, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Sports, Children's Book, Middle Grade, Diverse Fiction, Feminism, Commercial Fiction, Humor, LGBTQ, Literary Fiction, Women's Fiction",http://www.leshneagency.com/
Sara Crowe,Sara Crowe Literary,New York,"Fiction, Young Adult, Children's Book, Graphic Novel, Literary Fiction, Middle Grade, Picture Book, Romance, Diverse Fiction",https://www.saracrowelit.com/
Laurie Liss,Sterling Lord Literistic Inc.,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, LGBTQ, Spirituality",https://www.sll.com/
Jennifer DeChiara,Jennifer DeChiara Literary Agency,New York,"Fiction, Chick Lit, Commercial Fiction, Literary Fiction, Mystery, Thriller, Women's Fiction, Young Adult, Nonfiction, Memoir, Self-Help, Spirituality, Children's Book, Middle Grade, Picture Book, Diverse Fiction, LGBTQ",https://www.jdlit.com/
Wendy Sherman,Wendy Sherman Associates,New York,"Fiction, Commercial Fiction, Literary Fiction, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Sports",https://www.wsherman.com/
Celeste Fine,"Park, Fine & Brower Literary Management",New York,"Nonfiction, Memoir, Narrative Nonfiction, Commercial Fiction, Thriller, Young Adult, Politics",http://www.parkfine.com/
Allison Hunter,Trellis Literary,New York,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Romance, Thriller, Chick Lit, Diverse Fiction, Historical Fiction, New Adult",https://www.trellisliterary.com/
Anna Ghosh,Ghosh Literary,New York,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Historical Fiction, Women's Fiction",http://www.ghoshliterary.com/
Dorian Karchmar,William Morris Endeavor,Los Angeles,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Diverse Fiction, Feminism",https://www.wmebookdepartment.com/
Vicky Bijur,Vicky Bijur Literary Agency,New York,"Fiction, Commercial Fiction, Literary Fiction, Women's Fiction, Cookbook, Crime Fiction, LGBTQ, Memoir, Nonfiction, Self-Help, Thriller",http://www.vickybijuragency.com/
Christina Hogrebe,Jane Rotrosen Agency,New York,"Fiction, Commercial Fiction, Humor, Romance, Women's Fiction, Chick Lit, Middle Grade, Thriller, Fantasy",https://www.janerotrosen.com/
James A. Levine,Levine Greenberg Rostan Literary Agency,New York,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports",https://lgrliterary.com/
Adam Schear,DeFiore and Company,New York,"Fiction, Commercial Fiction, Humor, Literary Fiction, Science Fiction, Short Story, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Politics, #ownvoices",http://www.defliterary.com/
Gail Hochman,"Brandt & Hochman Literary Agents, Inc.",New York,"Fiction, Commercial Fiction, Literary Fiction, Thriller, Nonfiction, Memoir, Narrative Nonfiction, Politics, Children's Book, Young Adult",https://brandthochman.com/
David Black,David Black Literary Agency,New York,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Politics, Spirituality, Sports",http://www.davidblackagency.com/
Molly O'Neill,Root Literary,Los Angeles,"Young Adult, Children's Book, Middle Grade, Diverse Fiction, Graphic Novel",https://www.rootliterary.com/
Daniel Lazar,Writers House,New York,"Fiction, Commercial Fiction, Graphic Novel, Historical Fiction, Humor, Literary Fiction, Mystery, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Middle Grade, Diverse Fiction, LGBTQ",http://www.writershouse.com/
Susan Ramer,Don Congdon Associates,New York,"Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Women's Fiction, Feminism, LGBTQ, Diverse Fiction",http://www.doncongdon.com/
Sarah Hornsley,Peters Fraser + Dunlop,London,"Fiction, Commercial Fiction, Crime Fiction, Historical Fiction, Thriller, Romance, Women's Fiction, Nonfiction",https://petersfraserdunlop.com
Kim Lionetti,BookEnds Literary Agency,Newark,"Romance, Women's Fiction, Young Adult, Diverse Fiction, #ownvoices, BIPOC, LGBTQ, Chick Lit, Commercial Fiction",http://www.bookendsliterary.com/
Anna Olswanger,Olswanger Literary LLC,New York,"Fiction, Graphic Novel, Children's Book, Picture Book",http://www.olswanger.com/
Frank Weimann,Folio Literary Management,New York,"Humor, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Spirituality, Sports, Self-Help",https://www.foliolit.com/
Chris Bucci,Aevitas Creative Management,Boston,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Thriller, Nonfiction, Narrative Nonfiction, Politics, Sports",https://aevitascreative.com/
Joshua A. Bilmes,JABberwocky Literary Agency,New York,"Fiction, Crime Fiction, Fantasy, Horror, Mystery, Science Fiction, Thriller, Nonfiction, Business Book, Memoir, Politics, Sports, Graphic Novel, LGBTQ, Commercial Fiction",http://www.awfulagent.com
Kimberly Witherspoon,InkWell Management,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Cookbook, Fantasy, Romance, Short Story, Thriller, Women's Fiction, Chick Lit",http://inkwellmanagement.com/
Madeleine Milburn,Madeleine Milburn Literary,London,"Fiction, Historical Fiction, Romance, Thriller, Crime Fiction, Literary Fiction, Women's Fiction, Commercial Fiction, Mystery, Young Adult",http://madeleinemilburn.com/
Lori Kilkelly,LK Literary Agency,Chicago,"Graphic Novel, Young Adult, Children's Book, Middle Grade, Picture Book",https://www.lkliterary.com/
Jennifer Weltz,Jean V. Naggar Literary Agency,New York,"Fiction, Commercial Fiction, Fantasy, Historical Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Children's Book, Middle Grade",http://www.jvnla.com
Brian DeFiore,DeFiore and Company,New York,"Fiction, Commercial Fiction, Humor, Literary Fiction, Young Adult, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Self-Help, Sports",http://www.defliterary.com/
Bonnie Nadell,Hill Nadell Literary Agency,Los Angeles,"Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Cookbook",https://www.hillnadell.com/
Jennifer Rofe,Andrea Brown Literary Agency,Chicago,"Children's Book, Middle Grade, Fiction, Picture Book",https://www.andreabrownlit.com/
Brianne Johnson,HG Literary,New York,"Fiction, Historical Fiction, Women's Fiction, Young Adult, Children's Book, Middle Grade, LGBTQ, Crime Fiction, Horror, Humor, Mystery, Science Fiction",https://www.hgliterary.com/
David Dunton,"Harvey Klinger, Inc.",New York,"Young Adult, Children's Book, Middle Grade, Memoir, Narrative Nonfiction, Nonfiction",https://www.harveyklinger.com/
Elizabeth Harding,"Curtis Brown, Ltd.",New York,"Young Adult, Children's Book, Middle Grade",https://curtisbrown.com/
Bonnie Solow,Solow Literary Enterprises,San Francisco,"Nonfiction, Business Book, Memoir, Narrative Nonfiction, Spirituality",https://www.solowliterary.com/
Gail Ross,WME Books,Washington DC,"Nonfiction, Memoir, Politics, Business Book, Commercial Fiction, Humor, Literary Fiction, Narrative Nonfiction, Young Adult",https://wmebookdepartment.com/
Darley Anderson,"Darley Anderson Literary, TV and Film Agency",London,"Fiction, Commercial Fiction, Thriller, Crime Fiction, Horror, Mystery",https://www.darleyanderson.com/
Kari Sutherland,KT Literary,San Diego,"Humor, Young Adult, Children's Book, Middle Grade, Picture Book",https://ktliterary.com/
Liz Darhansoff,Darhansoff Verrill Feldman Literary Agents,New York,"Fiction, Literary Fiction, Nonfiction, Narrative Nonfiction, Thriller",http://www.dvagency.com/
Emily Forland,"Brandt & Hochman Literary Agents, Inc.",New York,"Fiction, Graphic Novel, Humor, Literary Fiction, Young Adult, Nonfiction, Memoir, Narrative Nonfiction",https://brandthochman.com/
Jessica Faust,BookEnds Literary Agency,Newark,"Fiction, Commercial Fiction, Mystery, Thriller, Women's Fiction, Diverse Fiction, LGBTQ, Crime Fiction, Fantasy, Romance",http://www.bookendsliterary.com/
Emily van Beek,Folio Literary Management,New York,"Fantasy, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, Graphic Novel",http://www.foliojr.com/
Melissa Flashman,Janklow & Nesbit Associates,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Business Book, Memoir",http://www.janklowandnesbit.com/
Molly Ker Hawn,The Bent Agency,London,"Fiction, Graphic Novel, Young Adult, Children's Book, Middle Grade, Fantasy, Science Fiction",http://www.thebentagency.com/
Stephanie Rostan,Levine Greenberg Rostan Literary Agency,New York,"Fiction, Commercial Fiction, Crime Fiction, Fantasy, Historical Fiction, Literary Fiction, Mystery, Romance, Thriller, Women's Fiction, Nonfiction, Memoir, Narrative Nonfiction, Self-Help, Spirituality, Chick Lit",https://lgrliterary.com/
Lizzy Kremer,David Higham Literary Agency,London,"Fiction, Commercial Fiction, Crime Fiction, Literary Fiction, Mystery, Women's Fiction, Diverse Fiction, BIPOC, LGBTQ, Feminism, Narrative Nonfiction",https://www.davidhigham.co.uk
Jessica Alvarez,BookEnds Literary Agency,Newark,"Fiction, Romance, Women's Fiction",http://www.bookendsliterary.com/
Susan Golomb,Writers House,New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Historical Fiction, Women's Fiction, Cookbook, Self-Help",http://www.writershouse.com/
Stephen Barr,Writers House,New York,"Graphic Novel, Humor, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Children's Book, Middle Grade, Picture Book",http://www.writershouse.com/
Alice Williams,Alice Williams Literary Agency,London,"Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ",https://www.alicewilliamsliterary.co.uk/
Emma Patterson,"Brandt & Hochman Literary Agents, Inc.",New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction",https://brandthochman.com/
Elyse Cheney,The Cheney Agency,New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Business Book, Short Story, Thriller, Women's Fiction",http://cheneyassoc.com/
Curtis Russell,P.S. Literary Agency,Toronto,"Fiction, Commercial Fiction, Humor, Literary Fiction, Mystery, Romance, Thriller, Nonfiction, Business Book, Memoir, Politics, Self-Help, Sports",https://www.psliterary.com/
Robin Rue,Writers House,New York,"Fiction, Commercial Fiction, Fantasy, Mystery, Romance, Science Fiction, Thriller, Young Adult",http://www.writershouse.com/
Stacey Glick,"Dystel, Goderich & Bourret",New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Cookbook, Memoir, Narrative Nonfiction, Politics, Self-Help",https://www.dystel.com/
Kari Stuart,Creative Artists Agency,London,"Fiction, Mystery, Thriller, Nonfiction, Business Book, Cookbook, Memoir, Self-Help",https://www.caa.com/
Mitchell S. Waters,"Brandt & Hochman Literary Agents, Inc.",New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Mystery, Nonfiction, Memoir, Thriller, Humor, Young Adult",https://brandthochman.com/
Anne Sibbald,Janklow & Nesbit Associates,New York,"Fiction, Commercial Fiction, Thriller, Nonfiction, Memoir",http://www.janklowandnesbit.com/
Marya Spence,Janklow & Nesbit Associates,New York,"Fiction, Humor, Literary Fiction, Poetry, Nonfiction, Memoir, Narrative Nonfiction",http://www.janklowandnesbit.com/
Gemma Cooper,Gemma Cooper Literary,London,"Graphic Novel, Young Adult, Children's Book, Middle Grade, Crime Fiction",https://www.gemmacooperliterary.com/
Jim McCarthy,"Dystel, Goderich & Bourret",New York,"Fiction, Commercial Fiction, Fantasy, Literary Fiction, Mystery, Romance, Women's Fiction, Young Adult, Nonfiction, Memoir, Middle Grade, Diverse Fiction, LGBTQ, Humor, Narrative Nonfiction, Politics, Sports, Chick Lit",https://www.dystel.com/
Caitlin McDonald,Donald Maass Literary Agency,New York,"Fiction, Fantasy, Horror, Science Fiction, Young Adult, Diverse Fiction, Feminism, LGBTQ, Graphic Novel",http://maassagency.com/
Jennifer Jackson,Donald Maass Literary Agency,New York,"Fiction, Fantasy, Historical Fiction, Science Fiction, Thriller, Women's Fiction, Young Adult, African-American, BIPOC, Crime Fiction",http://maassagency.com/
Stephen Barbara,InkWell Management,New York,"Fiction, Fantasy, Mystery, Science Fiction, Thriller, Young Adult, Nonfiction, Sports, Commercial Fiction, Humor, Literary Fiction, Memoir, Middle Grade, Narrative Nonfiction",http://inkwellmanagement.com/
Lorin Rees,Rees Literary Agency,Boston,"Fiction, Literary Fiction, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help",https://www.reesagency.com/
Thao Le,Sandra Dijkstra Literary Agency,San Diego,"Fiction, Fantasy, Graphic Novel, Romance, Science Fiction, Young Adult, Children's Book, Middle Grade, Picture Book, Diverse Fiction, BIPOC, LGBTQ",http://www.dijkstraagency.com/
Matthew Bialer,Sanford J. Greenburger Associates,New York,"Fiction, Fantasy, Mystery, Science Fiction, Thriller, Nonfiction, Narrative Nonfiction, Sports, Literary Fiction, Politics",https://www.greenburger.com/
Karolina Sutton,Creative Artists Agency,London,"Fiction, Historical Fiction, Literary Fiction, Crime Fiction, Memoir, Nonfiction, Thriller",https://www.caa.com/
Rob McQuilkin,Massie McQuilkin & Altman Literary Agents,New York,"Fiction, Historical Fiction, Nonfiction, Memoir, Literary Fiction, Narrative Nonfiction, Politics, Poetry",http://www.mmqlit.com/
Christopher Schelling,Selectric Artists,Hartford,"Fiction, Literary Fiction, Young Adult, Memoir, Narrative Nonfiction, Fantasy, Humor, Science Fiction, Thriller, Graphic Novel, Women's Fiction",http://selectricartists.com/
Christopher Ferebee,The Christopher Ferebee Agency,Los Angeles,"Nonfiction, Christian, Memoir, Spirituality, Fiction",https://www.christopherferebee.com/
Caitlin Blasdell,Liza Dawson Associates,New York,"Fiction, Commercial Fiction, Fantasy, Mystery, Science Fiction, Thriller, Women's Fiction, Young Adult, Middle Grade, Historical Fiction",https://www.lizadawsonassociates.com/
Veronique Baxter,David Higham Literary Agency,London,"Fiction, Crime Fiction, Historical Fiction, Literary Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Politics, Children's Book, Middle Grade, Diverse Fiction, BIPOC, Feminism, LGBTQ, Commercial Fiction, Women's Fiction",https://www.davidhigham.co.uk
Matt McGowan,"Frances Goldin Literary Agency, Inc.",New York,"Humor, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Politics, Sports",http://www.goldinlit.com/
Jane Dystel,"Dystel, Goderich & Bourret",New York,"Fiction, Commercial Fiction, Women's Fiction, Nonfiction, Memoir, Politics, Cookbook, Self-Help, Narrative Nonfiction",https://www.dystel.com/
Andrea Somberg,"Harvey Klinger, Inc.",New York,"Fiction, Chick Lit, Commercial Fiction, Fantasy, Historical Fiction, Humor, Literary Fiction, Mystery, Romance, Science Fiction, Thriller, Women's Fiction, Young Adult, Nonfiction, Business Book, Memoir, Narrative Nonfiction, Self-Help, Middle Grade, Diverse Fiction",https://www.harveyklinger.com/
Uwe Stender,Triada US Literary Agency,Pittsburgh,"Fiction, Graphic Novel, Thriller, Women's Fiction, Young Adult, Nonfiction, Narrative Nonfiction, Diverse Fiction",http://www.triadaus.com/
Cristina Concepcion,Don Congdon Associates,New York,"Fiction, Crime Fiction, Mystery, Thriller, Nonfiction, Narrative Nonfiction, Politics, Commercial Fiction, Cookbook, Historical Fiction, Literary Fiction",http://www.doncongdon.com/
Luke Janklow,Janklow & Nesbit Associates,New York,"Fiction, Action & Adventure, Commercial Fiction, Humor, Literary Fiction, Science Fiction, Thriller, Young Adult, Nonfiction, Memoir, Narrative Nonfiction, Sports, Cookbook, Horror",http://www.janklowandnesbit.com/
Henry Dunow,"Dunow, Carlson & Lerner Literary Agency",New York,"Fiction, Commercial Fiction, Historical Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Sports, Short Story, Spirituality, Politics",https://www.dclagency.com/
Theresa Park,"Park, Fine & Brower Literary Management",New York,"Fiction, Commercial Fiction, Literary Fiction, Nonfiction, Memoir, Narrative Nonfiction, Young Adult",http://www.parkfine.com/
